name,count,gender,probability,IPA,IPA_stress,n_syllables
Pam,1060.0,female,1.0,'pæm,1,1.0
Shawn,1059.0,male,0.9,'ʃɔːn,1,1.0
Audrey,1057.0,female,1.0,'ɔː driː,10,2.0
Julio,1052.0,male,1.0,'ʤuː liː oʊ,100,3.0
Janice,1052.0,female,1.0,'ʤæ nəs,10,2.0
Tracey,1051.0,female,0.99,'treɪ siː,10,2.0
Connie,1050.0,female,1.0,'kɔː niː,10,2.0
Kristin,1047.0,female,1.0,'krɪ stɪn,10,2.0
Nadia,1036.0,female,0.99,'næ djə,10,2.0
Neil,1036.0,male,1.0,'niːl,1,1.0
Stacey,1034.0,female,0.98,'steɪ siː,10,2.0
Muhammad,1033.0,male,1.0,mʊ 'hɑ məd,010,3.0
Allison,1033.0,female,1.0,'æ lə sən,100,3.0
Karla,1032.0,female,1.0,'kɑr lə,10,2.0
Jerry,1031.0,male,0.98,'ʤɛ riː,10,2.0
Chad,1028.0,male,1.0,'ʧæd,1,1.0
Alessandro,1025.0,male,1.0,ɑ leɪ 'zɑn droʊ,0010,4.0
Don,1025.0,male,0.99,'dɑn,1,1.0
Suzanne,1024.0,female,1.0,suː 'zæn,01,2.0
Tania,1022.0,female,1.0,'tɑ njə,10,2.0
Andreas,1021.0,male,1.0,ɑn 'dreɪ əs,010,3.0
Kenneth,1020.0,male,1.0,'kɛ nɪθ,10,2.0
Joan,1017.0,female,0.82,'ʤoʊn,1,1.0
Jacqueline,1016.0,female,1.0,'ʤæ kwə lɪn,100,3.0
Edward,1015.0,male,1.0,'ɛ dwɛːd,10,2.0
Ron,1014.0,male,0.98,'rɑn,1,1.0
Wayne,1014.0,male,1.0,'weɪn,1,1.0
Phil,1012.0,male,0.99,'fɪl,1,1.0
Randy,1012.0,male,0.98,'ræn diː,10,2.0
Jess,1010.0,female,0.91,'ʤɛs,1,1.0
Lucas,1003.0,male,1.0,'luː kəs,10,2.0
Tamara,999.0,female,1.0,tʌ 'mɑ rə,010,3.0
Carolyn,991.0,female,1.0,'kɛ rə lɪn,100,3.0
Travis,985.0,male,1.0,'træ vɪs,10,2.0
Natasha,981.0,female,1.0,nʌ 'tɑ ʃə,010,3.0
Tommy,979.0,male,0.99,'tɑ miː,10,2.0
Carrie,978.0,female,1.0,'kɛ riː,10,2.0
Brett,976.0,male,0.99,'brɛt,1,1.0
Ray,975.0,male,0.98,'reɪ,1,1.0
Kathleen,972.0,female,1.0,kæθ 'liːn,01,2.0
Larry,972.0,male,1.0,'lɛ riː,10,2.0
Marcus,970.0,male,1.0,'mɑr kəs,10,2.0
Fred,966.0,male,0.98,'frɛd,1,1.0
Valentina,964.0,female,1.0,væ lɪn 'tiː nʌ,0010,4.0
Shane,963.0,male,0.91,'ʃeɪn,1,1.0
TanYa,960.0,female,1.0,'tɑ njə,10,2.0
Tanya,960.0,female,1.0,'tɑ njə,10,2.0
Martina,958.0,female,1.0,mɑr 'tiː nʌ,010,3.0
Johnny,955.0,male,0.99,'ʤɑ niː,10,2.0
Colin,954.0,male,0.99,'koʊ lɪn,10,2.0
Rosa,947.0,female,0.99,'roʊ zʌ,10,2.0
Angelica,946.0,female,1.0,æn 'ʤɛ lɪ kə,0100,4.0
Kerry,943.0,female,0.88,'kɛ riː,10,2.0
Olivia,943.0,female,0.99,oʊ 'lɪ viː ə,0100,4.0
Ellen,942.0,female,1.0,'ɛ lən,10,2.0
Jeffrey,932.0,male,1.0,'ʤɛ friː,10,2.0
Esther,930.0,female,1.0,'ɛ stɛː,10,2.0
Carl,929.0,male,1.0,'kɑrl,1,1.0
Fiona,926.0,female,1.0,fiː 'oʊ nʌ,010,3.0
Bruno,926.0,male,1.0,'bruː noʊ,10,2.0
Sheila,923.0,female,1.0,'ʃiː lə,10,2.0
Hasan,923.0,male,0.99,'heɪ zən,10,2.0
Mohammad,919.0,male,1.0,moʊ 'hɑ mɛd,010,3.0
Stefan,917.0,male,1.0,'stɛ fɑn,10,2.0
Toni,915.0,female,0.66,'toʊ niː,10,2.0
Dean,914.0,male,0.96,'diːn,1,1.0
Billy,913.0,male,0.98,'bɪ liː,10,2.0
Kristina,912.0,female,1.0,kɹɪ 'sti nʌ,010,3.0
Felipe,912.0,male,1.0,fə 'liːp,01,2.0
Ahmad,908.0,male,0.99,'ɑ mɑd,10,2.0
Laurie,906.0,female,0.94,'lɔː riː,10,2.0
Chelsea,905.0,female,1.0,'ʧɛl siː,10,2.0
Leah,904.0,female,1.0,'liː ə,10,2.0
Lucia,902.0,female,0.99,'luː ʃə,10,2.0
Alexandre,899.0,male,1.0,æ lɪk 'sɑn dɛː,0010,4.0
Olga,898.0,female,1.0,'oʊl gə,10,2.0
Doug,891.0,male,1.0,'dəg,1,1.0
Fabio,890.0,male,0.99,'fɑ biː oʊ,100,3.0
Valerie,889.0,female,1.0,'væ lɛː iː,100,3.0
Verónica,888.0,female,1.0,,,
Jenna,886.0,female,1.0,,,
Leonardo,886.0,male,1.0,`liː ə 'nɑr doʊ,1010,4.0
Maggie,886.0,female,1.0,'mæ giː,10,2.0
Raquel,878.0,female,1.0,rə 'kɛl,01,2.0
Edgar,877.0,male,1.0,'ɛd gɛː,10,2.0
Hakan,876.0,male,0.99,'heɪ kən,10,2.0
Isabelle,867.0,female,1.0,'ɪ zʌ `bɛl,101,3.0
Joey,865.0,male,0.8,'ʤoʊ iː,10,2.0
Fatih,865.0,male,0.99,'fæ tɪ,10,2.0
Walter,864.0,male,1.0,'wɔːl tɛː,10,2.0
Andre,860.0,male,0.93,'ɑn `dreɪ,11,2.0
